Age,Gender,Education,Skills,Interests,Job_Title,Industry,Salary_Range,Growth_Rate
40,Male,PhD,"Communication, Management, Data Analysis, Python","Healthcare, Art",Graphic Designer,Creative,$40k–$60k,0.03
25,Male,Master’s,"Communication, Data Analysis, Design, Python","Healthcare, Art",Data Scientist,Tech,$90k–$140k,0.08
20,Female,Bachelor’s,"Java, Design, Python, Communication","Technology, Healthcare, Finance",Graphic Designer,Creative,$40k–$60k,0.03
59,Male,Bachelor’s,"Java, Design","Art, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
49,Female,Master’s,"Python, Communication, Management, Data Analysis",Technology,Software Engineer,Tech,$80k–$120k,0.07
23,Other,High School,"Java, Data Analysis","Healthcare, Finance",Graphic Designer,Creative,$40k–$60k,0.03
51,Other,PhD,"Communication, Management","Art, Technology",Data Scientist,Tech,$90k–$140k,0.08
24,Female,PhD,"Data Analysis, Management, Python, Communication","Finance, Education",Graphic Designer,Creative,$40k–$60k,0.03
21,Other,PhD,"Management, Python, Java","Finance, Education, Art",Software Engineer,Tech,$80k–$120k,0.07
46,Male,Bachelor’s,"Data Analysis, Design, Python, Management","Technology, Art",Data Scientist,Tech,$90k–$140k,0.08
27,Male,PhD,"Management, Design, Python, Java",Education,Data Scientist,Tech,$90k–$140k,0.08
35,Other,High School,"Data Analysis, Communication, Java","Healthcare, Technology",Data Scientist,Tech,$90k–$140k,0.08
54,Male,PhD,"Management, Python, Communication","Technology, Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
26,Female,Bachelor’s,"Java, Management",Art,Software Engineer,Tech,$80k–$120k,0.07
40,Female,High School,"Data Analysis, Communication, Management","Education, Healthcare",Graphic Designer,Creative,$40k–$60k,0.03
48,Other,Master’s,"Java, Data Analysis, Communication","Finance, Healthcare, Technology",Data Scientist,Tech,$90k–$140k,0.08
24,Male,Bachelor’s,"Python, Java, Management, Design",Healthcare,Software Engineer,Tech,$80k–$120k,0.07
61,Male,Master’s,"Management, Java, Design","Education, Art, Finance",Software Engineer,Tech,$80k–$120k,0.07
59,Other,Master’s,"Data Analysis, Design, Communication",Healthcare,Software Engineer,Tech,$80k–$120k,0.07
37,Other,PhD,"Design, Python, Communication, Management","Art, Healthcare",Software Engineer,Tech,$80k–$120k,0.07
52,Male,Bachelor’s,"Communication, Data Analysis, Management, Java",Education,Graphic Designer,Creative,$40k–$60k,0.03
18,Male,Master’s,"Python, Communication, Java","Healthcare, Finance",Software Engineer,Tech,$80k–$120k,0.07
58,Female,PhD,"Management, Design, Data Analysis, Communication","Technology, Education",Graphic Designer,Creative,$40k–$60k,0.03
